"LineName"	"MaleParent"	"FemaleParent"
CL84-3323		
CL84-3428		
CL84-3678		
CL84-3714		
CL84-3735		
CL84-3878		
CL84-3927		
CL84-3929		
CL84-4009		
CL84-4011		
CL84-4081		
CL84-4143		
CL84-4234		
CL84-4235		
CL84-4302		
CL84-5215		
CL84-5407		
CL85-0853		
CL85-0895		
CL85-1057		
CL85-1101		
CL85-1111		
CL85-1290		
CL85-1325		
CL85-1865		
CL85-1900		
CL85-2154		
CL85-2493		
CL85-2660		
CL85-3041		
CL85-3488		
CL85-3503		
CL85-3715		
CL85-4362		
CL85-4375		
CL85-4636		
CL85-4645		
CL86-0265		
CL86-1479		
CL86-2520		
CL86-2542		
CL86-2550		
CL86-3279		
CL86-4047		
CL86-4087		
CL86-4124		
CL86-4139		
CL86-4340		
CL86-4477		
CL86-4519		
CL86-4531		
CL86-4590		
CL86-4731		
CL86-4829		
CL86-5687		
CL87-0087		
CL87-0640		
CL87-1630		
CL87-2282		
CL87-2607		
CL87-2647		
CL87-2663		
CL87-2882		
CL87-2944		
CL87-4022		
CL87-4325		
CL87-4708		
CL87-4795		
CL87-4842		
CL87-5267		
CL87-5367		
CL87-5424		
CL87-5430		
CL87-5443		
CL88-1264		
CL88-1685		
CL88-1762		
CL88-1773		
CL88-1786		
CL88-1850		
CL88-2079		
CL88-2747		
CL88-2819		
CL88-2871		
CL88-430		
CL88-4409		
CL88-4503		
CL88-4723		
CL88-4730		
CL88-4854		
CL88-4866		
CL88-4890		
CL88-4980		
CL88-5022		
CL88-5026		
CL88-5189		
CL88-5257		
CL88-5356		
CL88-5421		
CL89-0006		
CL89-0616		
CL89-0846		
CL89-0864		
CL89-2377		
CL89-2944		
CL89-4100		
CL89-4290		
CL89-4294		
CL89-4303		
CL89-4305		
CL89-4515		
CL89-4939		
CL89-5070		
CL89-5189		
CL89-5457	CL79-2243	Mix88-L
CL90-0293		
CL90-0596		
CL90-0749		
CL90-1211		
CL90-1305		
CL90-1353		
CL90-1374		
CL90-1479		
CL90-1595		
CL90-1683		
CL90-4009		
CL90-4101		
CL90-4161		
CL90-4234		
CL90-4355		
CL90-4461		
CL90-4500		
CL90-4533		
CL90-4643		
CL90-4725		
CL90-4972		
CL90-5017		
CL90-5032		
CL90-5202		
CL90-5364		
CL91-0287		
CL91-0857		
CL91-1637		
CL91-1714		
CL91-1754		
CL91-1918		
CL91-2269		
CL91-2746		
CL91-2907		
CL91-4009		
CL91-4069		
CL91-4101		
CL91-4157		
CL91-4377		
CL91-4814		
CL91-5057		
CL92-0046		
CL92-0775		
CL92-1249		
CL92-1367		
CL92-1389		
CL92-1528		
CL92-1570		
CL92-1666		
CL92-1787		
CL92-2526		
CL92-2533	CL75-0853	CL78-1600
CL92-3120		
CL92-4058		
CL92-4193		
CL92-4531		
CL92-4589		
CL92-5254		
CL92-5255		
CL92-5431		
CL93-0713		
CL93-0980		
CL93-1121		
CL93-1367		
CL93-1472		
CL93-1858		
CL93-2578		
CL93-2581		
CL93-2679		
CL93-4076		
CL93-4475		
CL93-4672		
CL93-4688		
CL93-4733		
CL93-4977		
CL93-5104		
CL93-5140		
CL93-5185		
CL93-5194		
CL93-5215		
CL93-5562		
CL93-5686		
CL94-0096		
CL94-0150		
CL94-0387		
CL94-0545		
CL94-0549		
CL94-2292		
CL94-2633		
CL94-3201		
CL94-4150		
CL94-4155		
CL94-4213		
CL94-4486		
CL94-4531		
CL94-4690		
CL94-4815		
CL94-4871		
CL94-5018		
CL94-5051		
CL94-5215		
CL95-0242		
CL95-0248		
CL95-0662		
CL95-0776		
CL95-1758		
CL95-1795		
CL95-1855		
CL95-1907		
CL95-2108		
CL95-2287		
CL95-2367		
CL95-2406		
CL95-2460		
CL95-4323		
CL95-4511		
CL95-5177		
CL95-5255		
CL96-0726		
CL96-1165		
CL96-1199		
CL96-1250		
CL96-2375		
CL96-4246		
CL96-4264		
CL96-4271		
CL96-4272		
CL96-4485		
CL96-4527		
CL96-4974		
CL96-5337		
CL97-1813		
CL97-1864		
CL97-4983		
CL98-1031		
CL98-1205		
CL98-4392		
CL99-1368		
CL99-1777		
CL99-2103		
CL99-2651		
CL99-4067		
CL99-4295		
CL99-4455		
CL99-4563		
Co1007		
Co1148	P4383	Co301
Co205	Vellai	unknown Indian S. spontaneum
Co206	AshyMauritius	unknown Indian S. spontaneum
Co213	POJ0213	Kansar
Co214	StripedMauritius	M4600
Co221	POJ0213	M2
Co244	POJ0213	Co205
Co281	POJ0213	Co206
Co285	GreenSport	unknown Indian S. spontaneum
Co290	Co221	D74
Co299	Co213	POJ1410
Co301	Co213	POJ1499
Co312	Co213	Co244
Co331	Co213	Co214
Co356		
Co360	POJ2725	unknown
Co361	POJ2725	B3412
Co371	Co213	Co214
Co419	POJ2878	Co312
Co421	POJ2878	Co285
Co440	Co360	unknown
Co449	POJ2878	Co331
Co464	Co361	Co285
Co603	P3247	Co419
Co6806	Co775	Co798
Co683	POJ2878	B3412
Co740	P3248	P4775
Co775	POJ2878	Co371
Co798	Co603	Co449
Co997	Co683	P63-0032
Coimbatore		
CP0001	POJ2222	F23
CP00-1001	CP90-1424	CP80-1743
CP00-1003	CP90-1424	CP80-1743
CP00-1004	TCP92-4193	CP85-1491
CP00-1005	TCP92-4193	CP85-1491
CP00-1006	TCP92-4193	CP85-1491
CP00-1007	TCP92-4193	CP85-1491
CP00-1008	TCP92-4193	CP85-1491
CP00-1009	CP95-2318	CP81-1384
CP00-1010	CP95-2318	CP81-1384
CP00-1011	CP95-2318	CP81-1384
CP00-1012	CP95-2318	CP81-1384
CP00-1013	CP95-2318	CP81-1384
CP00-1014	CP95-2318	CP81-1384
CP00-1015	CP95-2318	CP81-1384
CP00-1016	HoCP94-0836	CP92-1167
CP00-1017	HoCP94-0836	CP92-1167
CP00-1018	HoCP94-0836	CP92-1167
CP00-1019	CP85-1491	CP72-2086
CP00-1020	CP85-1491	CP72-2086
CP00-1021	CP85-1491	CP72-2086
CP00-1022	CP90-1436	CP88-1762
CP00-1023	CP90-1436	CP88-1762
CP00-1024	CP90-1436	CP88-1762
CP00-1025	CP90-1436	CP88-1762
CP00-1026	CP85-1382	CP85-1491
CP00-1031	HoCP94-0817	98P02
CP00-1032	CP90-1436	CP94-1570
CP00-1033	CP90-1436	CP94-1570
CP00-1034	CP90-1436	CP94-1570
CP00-1035	CP90-1436	CP94-1570
CP00-1036	CP92-1607	CP80-1827
CP00-1037	CP92-1607	CP80-1827
CP00-1038	CP84-1322	CP92-1167
CP00-1039	CP84-1322	CP92-1167
CP00-1040	CP84-1322	CP92-1167
CP00-1041	CP84-1322	CP92-1167
CP00-1042	US96-0002	CP84-1062
CP00-1043	CP84-1198	98P05
CP00-1044	CP94-1528	CP80-1743
CP00-1045	CP81-1254	CP81-1384
CP00-1046	CP89-1632	CP93-1634
CP00-1047	CP89-1632	CP93-1634
CP00-1048	CP93-1065	CP84-1322
CP00-1049	CP92-1607	CP84-1198
CP00-1050	CP92-1607	CP84-1198
CP00-1051	CP92-1607	CP84-1198
CP00-1052	CP94-1528	CP80-1743
CP00-1053	CP94-1528	CP80-1743
CP00-1054	CP94-1528	CP80-1743
CP00-1055	CP93-1634	CP94-2059
CP00-1056	CP93-1634	CP94-2059
CP00-1057	CP85-1491	98P03
CP00-1058	US88-1001	CP84-1198
CP00-1059	US88-1001	CP84-1198
CP00-1060	CP93-1065	CP72-2086
CP00-1061	CP93-1548	CP88-1762
CP00-1062	CP80-1827	CP80-1827
CP00-1063	CP94-1570	CP80-1827
CP00-1064	CP84-1322	CP84-1322
CP00-1065	CP84-1322	CP84-1322
CP00-1066	CP92-1561	CP84-1322
CP00-1067	CP92-1561	CP84-1322
CP00-1068	CP94-1100	CP94-2059
CP00-1069	CP57-0614	CP57-0614
CP00-1070	CP92-1607	CP85-1491
CP00-1071	CP89-2143	98P07
CP00-1072	CP89-2143	98P07
CP00-1073	CP89-2143	98P07
CP00-1074	CP89-2143	98P07
CP00-1075	CP92-1607	98P05
CP00-1076	CP75-1632	CP80-1743
CP00-1077	CP75-1632	CP80-1743
CP00-1078	CP75-1632	CP80-1743
CP00-1079	CP84-1198	CP88-1762
CP00-1080	CP84-1198	CP88-1762
CP00-1081	CP92-1666	CP80-1827
CP00-1082	CP92-1666	CP80-1827
CP00-1083	CP92-1607	98P05
CP00-1084	CP92-1607	98P05
CP00-1085	CP72-1210	CP72-1210
CP00-1086	CP72-1210	CP72-1210
CP00-1087	US98-1009	CP84-1198
CP00-1088	CP94-1340	CP72-2086
CP00-1089	CP94-1340	CP72-2086
CP00-1090	TCP93-4270	TCP93-4270
CP00-1091	TCP93-4270	TCP93-4270
CP00-1092	CP90-1535	CP80-1743
CP00-1093	CP92-1167	CP92-1167
CP00-1094	CP92-1167	CP92-1167
CP00-1095	CP92-1167	CP92-1167
CP00-1096	TCP88-3461	TCP88-3461
CP00-1097	TCP88-3461	TCP88-3461
CP00-1098	TCP88-3461	TCP88-3461
CP00-1099	CP89-2143	CP89-2143
CP00-1100	CP89-2143	CP89-2143
CP00-1101	CP89-2143	CP89-2143
CP00-1102	CP89-2143	CP70-1133
CP00-1103	CP93-1065	CP72-2086
CP00-1104	CP94-1100	HoCP92-0618
CP00-1105	US96-0005	US96-0005
CP00-1106	CL61-0620	CP89-2143
CP00-1107	CL61-0620	CP89-2143
CP00-1108	TCP91-3543	TCP91-3543
CP00-1109	CP81-1384	CP94-1528
CP00-1110	CP81-1384	CP94-1528
CP00-1111	CP81-1384	CP94-1528
CP00-1112	CP81-1384	CP94-1528
CP00-1113	CP94-1200	CP81-1384
CP00-1114	CP94-1200	CP81-1384
CP00-1115	TCP88-3461	TCP88-3461
CP00-1116	TCP88-3461	TCP88-3461
CP00-1117	TCP88-3461	TCP88-3461
CP00-1118	CP94-2059	CP84-1322
CP00-1119	CP94-2059	CP84-1322
CP00-1120	CP94-2059	CP84-1322
CP00-1121	CP94-2059	CP84-1322
CP00-1122	TCP88-3448	HoCP95-0929
CP00-1123	TCP88-3448	HoCP95-0929
CP00-1124	TCP88-3448	HoCP95-0929
CP00-1125	TCP88-3448	HoCP95-0929
CP00-1126	LCP85-0384	LCP85-0384
CP00-1127	LCP85-0384	LCP85-0384
CP00-1128	CP84-1198	CP80-1743
CP00-1129	CP84-1198	CP80-1743
CP00-1130	CP84-1198	CP80-1743
CP00-1131	CP84-1198	CP80-1743
CP00-1132	CP89-2143	CP89-2143
CP00-1133	CP92-1666	CP80-1827
CP00-1134	CP92-1666	CP80-1827
CP00-1135	CP92-1666	CP80-1827
CP00-1136	CP94-2059	CP78-1628
CP00-1137	CP94-2059	CP78-1628
CP00-1138	CP94-2059	CP78-1628
CP00-1139	LCP86-0454	LCP86-0454
CP00-1140	LCP86-0454	LCP86-0454
CP00-1141	LCP86-0454	LCP86-0454
CP00-1142	LCP86-0454	LCP86-0454
CP00-1143	LCP86-0454	LCP86-0454
CP00-1144	CP93-1634	CP92-1167
CP00-1145	CP93-1634	CP92-1167
CP00-1146	CP93-1634	CP92-1167
CP00-1147	CP93-1634	CP92-1167
CP00-1148	CP85-1432	CP92-1167
CP00-1149	CP85-1432	CP92-1167
CP00-1150	CP85-1432	CP92-1167
CP00-1151	CP85-1432	CP92-1167
CP00-1152	CP92-1561	CP94-2059
CP00-1153	CP85-1432	CP92-1666
CP00-1154	CP94-1200	CP94-1570
CP00-1155	CP94-1200	CP94-1570
CP00-1156	CP85-1382	CP80-1743
CP00-1157	HoCP93-0750	CP84-1198
CP00-1158	HoCP93-0750	CP84-1198
CP00-1159	HoCP93-0750	CP84-1198
CP00-1160	HoCP93-0750	CP84-1198
CP00-1161	HoCP93-0750	CP84-1198
CP00-1162	HoCP93-0750	CP84-1198
CP00-1163	US90-0018	Ho94-0861
CP00-1164	US90-0018	Ho94-0861
CP00-1165	US90-0018	Ho94-0861
CP00-1166	CP92-1561	98P03
CP00-1167	CP92-1561	98P03
CP00-1168	CP89-1509	CP88-1762
CP00-1176	L94-0424	L94-0424
CP00-1177	L94-0424	L94-0424
CP00-1178	L94-0424	L94-0424
CP00-1179	L94-0424	L94-0424
CP00-1180	L94-0424	L94-0424
CP00-1181	CP89-1945	CP88-1762
CP00-1182	CP89-1945	CP88-1762
CP00-1185	CP90-1436	CP80-1827
CP00-1186	CP78-2114	98P05
CP00-1187	CP78-2114	98P05
CP00-1188	CP89-2143	CP81-1384
CP00-1189	CP89-2143	CP81-1384
CP00-1190	CP94-1200	CP80-1827
CP00-1191	CP94-1200	CP80-1827
CP00-1192	CP94-1200	CP80-1827
CP00-1193	CP94-1200	CP80-1827
CP00-1194	CP94-1200	CP80-1827
CP00-1195	CP94-1200	CP80-1827
CP00-1196	CP95-2318	CP92-1666
CP00-1197	CP92-1167	CP85-1491
CP00-1198	CP94-1570	CP80-1827
CP00-1199	CP92-1666	TCP89-3505
CP00-1200	CP92-1666	TCP89-3505
CP00-1201	CP94-1528	98P03
CP00-1202	CP94-1528	98P03
CP00-1203	CP94-1528	98P03
CP00-1204	CP94-1528	98P03
CP00-1205	CP94-1200	CP84-1322
CP00-1206	CP94-1200	CP84-1322
CP00-1207		
CP00-1208	CP94-1528	CP84-1322
CP00-1209	CP94-1528	CP84-1322
CP00-1210	CP94-1528	CP84-1322
CP00-1211	CP94-1528	CP84-1322
CP00-1212	L94-0424	L94-0424
CP00-1213	CP85-1432	98P05
CP00-1214	TCP91-4131	LCP85-0384
CP00-1215	CP94-1200	US90-0020
CP00-1216	CP85-1382	CP88-1762
CP00-1217	CL61-0620	CP94-1570
CP00-1218	CL61-0620	CP94-1570
CP00-1219	CL61-0620	CP94-1570
CP00-1220	CP84-1198	CP84-1198
CP00-1221	CP57-0614	CP57-0614
CP00-1222	CP89-1268	98P07
CP00-1223	CP89-1268	98P07
CP00-1224	CP90-1424	CP84-1198
CP00-1225	LCP85-0384	LCP85-0384
CP00-1226	CP90-1424	98P05
CP00-1227	CP94-1100	98P07
CP00-1228	CP94-1100	98P07
CP00-1229	US96-0002	CP80-1827
CP00-1230	CP92-1607	CP85-1491
CP00-1231	CP72-1210	CP92-1167
CP00-1232	CP72-1210	CP92-1167
CP00-1233	CP94-1200	CP92-1167
CP00-1234	CP94-1200	CP92-1167
CP00-1235	CP94-1200	CP92-1167
CP00-1236	CP94-1200	CP92-1167
CP00-1237	CP94-1200	CP92-1167
CP00-1238	CP94-1200	CP92-1167
CP00-1239	HoCP95-0947	HoCP95-0947
CP00-1240	Ho94-809	CP80-1827
CP00-1241	Ho94-809	CP80-1827
CP00-1242	Ho94-809	CP80-1827
CP00-1243	TCP92-4208	TCP93-4270
CP00-1244	CP90-1424	CP93-1634
CP00-1245	CP90-1424	CP93-1634
CP00-1246	CP90-1222	CP93-1634
CP00-1247	CP90-1222	CP93-1634
CP00-1248	CP90-1222	CP93-1634
CP00-1249	CP90-1222	CP93-1634
CP00-1250	CP93-1065	CP70-1133
CP00-1251	CP93-1065	CP70-1133
CP00-1252	CP90-1424	CP92-1167
CP00-1253	CP78-2114	CP89-2143
CP00-1254	CP78-2114	CP89-2143
CP00-1255	CP92-1167	CP94-1528
CP00-1256	CP92-1167	CP94-1528
CP00-1257	CL61-0620	CP81-1384
CP00-1258	CP94-1100	CP92-1167
CP00-1259	CP94-1100	CP92-1167
CP00-1260	CP94-1100	CP92-1167
CP00-1261	CP94-1100	CP92-1167
CP00-1267	HoCP95-0950	HoCP95-0950
CP00-1268	HoCP85-0845	HoCP85-0845
CP00-1269	HoCP85-0845	HoCP85-0845
CP00-1270	CP94-1528	CP80-1743
CP00-1271	CP94-1528	CP80-1743
CP00-1272	CP94-1100	CP94-1570
CP00-1273	CP94-1100	CP94-1570
CP00-1274	CP94-1100	CP94-1570
CP00-1275	CP89-1268	CP70-1133
CP00-1276	CL61-0620	CP78-1628
CP00-1284	CP92-1666	CP92-1666
CP00-1285	CP92-1666	CP92-1666
CP00-1286	CP92-1666	CP92-1666
CP00-1287	CP85-1432	CP84-1198
CP00-1288	HoCP95-0947	HoCP95-0947
CP00-1289	CP93-1439	CP84-1198
CP00-1290	CP93-1439	CP84-1198
CP00-1291	CP81-1254	CP94-2059
CP00-1292	CP81-1254	CP94-2059
CP00-1293	CP81-1254	CP94-2059
CP00-1294	CP84-1198	CP92-1167
CP00-1295	CP84-1198	CP92-1167
CP00-1296	CP93-1065	CP91-1924
CP00-1297	CP75-1632	CP80-1743
CP00-1298	CP75-1632	CP80-1743
CP00-1299	CP75-1632	CP89-2143
CP00-1300	CP75-1632	CP89-2143
CP00-1301	CP75-1632	CP89-2143
CP00-1302	CP75-1632	CP89-2143
CP00-1303	CP92-1607	HoCP95-0951
CP00-1304	CP84-1062	CP92-1666
CP00-1305	CP95-2318	CP94-1528
CP00-1306	CP78-2114	CP89-2143
CP00-1307	CP78-2114	CP89-2143
CP00-1308	CP85-1491	CP85-1491
CP00-1309	CP78-2114	CP89-2143
CP00-1313	CP94-2056	CP94-2056
CP00-1314	CP94-2056	CP94-2056
CP00-1315	CP85-1491	CP85-1491
CP00-1316	CP85-1491	CP85-1491
CP00-1317	CP85-1491	CP85-1491
CP00-1318	CP94-1200	CP85-1491
CP00-1319	US90-0020	TCP90-4087
CP00-1320	US90-0020	TCP90-4087
CP00-1321	CP90-1222	CP89-2143
CP00-1322	CP90-1222	CP89-2143
CP00-1323	CP93-1634	CP89-2143
CP00-1324	CP93-1634	CP89-2143
CP00-1325	CP70-1133	CP70-1133
CP00-1326	CP89-1632	CP92-1167
CP00-1327	CP89-1632	CP92-1167
CP00-1328	CP89-1509	CP80-1743
CP00-1329	CP89-1509	CP80-1743
CP00-1330	CP89-1509	CP80-1743
CP00-1331	CP89-1509	CP80-1743
CP00-1332	CP91-1924	CP70-1133
CP00-1333	CP93-1634	CP72-2086
CP00-1334	CP93-1634	CP72-2086
CP00-1335	CP93-1634	CP72-2086
CP00-1336	CP90-1222	CP78-1628
CP00-1337	CP90-1222	CP78-1628
CP00-1338	CP72-1210	CP72-1210
CP00-1339	CP72-1210	CP72-1210
CP00-1340	CP72-1210	CP72-1210
CP00-1341	CP78-2114	CP85-1491
CP00-1342	CP89-1509	CP72-2086
CP00-1343	CP89-1509	CP72-2086
CP00-1344	CP94-2095	CP80-1827
CP00-1345	CP94-2095	CP80-1827
CP00-1346	CP94-2095	CP80-1827
CP00-1347	CP78-2114	CP84-1322
CP00-1348	CP78-2114	CP84-1322
CP00-1349	CP90-1436	CP92-1167
CP00-1350	CP90-1436	CP92-1167
CP00-1351	HoCP95-0995 [SGR-3446]	CP88-1762
CP00-1352	HoCP95-0995 [SGR-3446]	CP88-1762
CP00-1353	CP95-2318	CP93-1634
CP00-1354	LCP86-0454	LCP86-0454
CP00-1355	LCP86-0454	LCP86-0454
CP00-1356	CP94-1100	CP89-2143
CP00-1357	CP94-1100	CP89-2143
CP00-1358	CP94-1100	CP89-2143
CP00-1359	CP94-1100	CP89-2143
CP00-1360	US90-0018	HoCP95-0988
CP00-1361	US90-0018	HoCP95-0988
CP00-1364	CP93-1065	98P05
CP00-1365	CP93-1065	98P05
CP00-1366	CP92-1561	CP80-1743
CP00-1369	CP89-1945	CP94-2059
CP00-1370	CP89-1945	CP94-2059
CP00-1371	CP89-1945	CP94-2059
CP00-1372	CP93-1382	CP84-1322
CP00-1373	CP92-1167	CP92-1167
CP00-1374	CP92-1167	CP92-1167
CP00-1375	CP91-1924	CP89-2143
CP00-1376	CP92-1666	CP94-1528
CP00-1377	CP94-1528	CP93-1634
CP00-1378	CP94-1528	CP93-1634
CP00-1379	CP94-1528	CP93-1634
CP00-1380	CP93-1634	CP94-1528
CP00-1382	CP93-1634	CP94-1528
CP00-1383	CP91-1924	CP84-1198
CP00-1384	CP91-1924	CP84-1198
CP00-1385	CP91-1924	CP84-1198
CP00-1386	CP91-1924	CP84-1198
CP00-1387	CP91-1924	CP84-1198
CP00-1389	CP91-1924	CP84-1198
CP00-1390	CP91-1924	CP84-1198
CP00-1391	CP92-1607	CP89-2377
CP00-1392	CP80-1827	CP92-1320
CP00-1393	CP80-1827	CP92-1320
CP00-1394	CP80-1827	CP92-1320
CP00-1395	CP80-1827	CP92-1320
CP00-1396	TCP90-4094	CP84-1198
CP00-1397	TCP90-4094	CP84-1198
CP00-1398		
CP00-1399	LCP86-0454	LCP85-0384
CP00-1401	LCP86-0454	LCP85-0384
CP00-1402	CP89-2376	CP91-1150
CP00-1403	CP89-2376	CP91-1150
CP00-1404	CP89-2376	CP91-1150
CP00-1405	CP89-2376	CP91-1150
CP00-1406	CP89-2376	CP91-1150
CP00-1407	CP89-2377	TCP91-3543
CP00-1408	CP70-1133	CP85-1308
CP00-1409	CP70-1133	CP85-1308
CP00-1410	CP70-1133	CP85-1308
CP00-1412	CP94-1997	97P07
CP00-1413	CP94-1997	97P07
CP00-1414	TCP92-4193	TCP93-4270
CP00-1415	CP80-1827	CP89-2377
CP00-1416	CP80-1827	97P08
CP00-1417	CP80-1827	97P08
CP00-1418	CP70-1133	CP92-1320
CP00-1419	CP70-1133	CP92-1320
CP00-1420	CP70-1133	CP92-1320
CP00-1421	CP70-1133	CP92-1320
CP00-1422	CP81-1238	CP90-1535
CP00-1424	HoCP92-0618	CP84-1198
CP00-1425	CP72-2066	CP57-0603
CP00-1426	CP72-2066	CP57-0603
CP00-1427	CP72-2066	CP57-0603
CP00-1428	CP65-0357	TCP93-4270
CP00-1429	CP65-0357	TCP93-4270
