Parent,Child
POJ2878,Co421
Co285,Co421
Co360,Co440
unknown,Co440
POJ2878,Co449
Co331,Co449
Co361,Co464
Co285,Co464
P3247,Co603
Co419,Co603
Co775,Co6806
Co798,Co6806
POJ2878,Co683
B3412,Co683
P3248,Co740
P4775,Co740
POJ2878,Co775
Co371,Co775
Co603,Co798
Co449,Co798
Co683,Co997
P63-0032,Co997
POJ2222,CP0001
F23,CP0001
CP90-1424,CP00-1001
CP80-1743,CP00-1001
CP90-1424,CP00-1003
CP80-1743,CP00-1003
TCP92-4193,CP00-1004
CP85-1491,CP00-1004
TCP92-4193,CP00-1005
CP85-1491,CP00-1005
TCP92-4193,CP00-1006
CP85-1491,CP00-1006
TCP92-4193,CP00-1007
CP85-1491,CP00-1007
TCP92-4193,CP00-1008
CP85-1491,CP00-1008
CP95-2318,CP00-1009
CP81-1384,CP00-1009
CP95-2318,CP00-1010
CP81-1384,CP00-1010
CP95-2318,CP00-1011
CP81-1384,CP00-1011
CP95-2318,CP00-1012
CP81-1384,CP00-1012
CP95-2318,CP00-1013
CP81-1384,CP00-1013
CP95-2318,CP00-1014
CP81-1384,CP00-1014
CP95-2318,CP00-1015
CP81-1384,CP00-1015
HoCP94-0836,CP00-1016
CP92-1167,CP00-1016
HoCP94-0836,CP00-1017
CP92-1167,CP00-1017
HoCP94-0836,CP00-1018
CP92-1167,CP00-1018
CP85-1491,CP00-1019
CP72-2086,CP00-1019
CP85-1491,CP00-1020
CP72-2086,CP00-1020
CP85-1491,CP00-1021
CP72-2086,CP00-1021
CP90-1436,CP00-1022
CP88-1762,CP00-1022
CP90-1436,CP00-1023
CP88-1762,CP00-1023
CP90-1436,CP00-1024
CP88-1762,CP00-1024
CP90-1436,CP00-1025
CP88-1762,CP00-1025
CP85-1382,CP00-1026
CP85-1491,CP00-1026
HoCP94-0817,CP00-1031
98P02,CP00-1031
CP90-1436,CP00-1032
CP94-1570,CP00-1032
CP90-1436,CP00-1033
CP94-1570,CP00-1033
CP90-1436,CP00-1034
CP94-1570,CP00-1034
CP90-1436,CP00-1035
CP94-1570,CP00-1035
CP92-1607,CP00-1036
CP80-1827,CP00-1036
CP92-1607,CP00-1037
CP80-1827,CP00-1037
CP84-1322,CP00-1038
CP92-1167,CP00-1038
CP84-1322,CP00-1039
CP92-1167,CP00-1039
CP84-1322,CP00-1040
CP92-1167,CP00-1040
CP84-1322,CP00-1041
CP92-1167,CP00-1041
US96-0002,CP00-1042
CP84-1062,CP00-1042
CP84-1198,CP00-1043
98P05,CP00-1043
CP94-1528,CP00-1044
CP80-1743,CP00-1044
CP81-1254,CP00-1045
CP81-1384,CP00-1045
CP89-1632,CP00-1046
CP93-1634,CP00-1046
CP89-1632,CP00-1047
CP93-1634,CP00-1047
CP93-1065,CP00-1048
CP84-1322,CP00-1048
CP92-1607,CP00-1049
CP84-1198,CP00-1049
CP92-1607,CP00-1050
CP84-1198,CP00-1050
CP92-1607,CP00-1051
CP84-1198,CP00-1051
CP94-1528,CP00-1052
CP80-1743,CP00-1052
CP94-1528,CP00-1053
CP80-1743,CP00-1053
CP94-1528,CP00-1054
CP80-1743,CP00-1054
CP93-1634,CP00-1055
CP94-2059,CP00-1055
CP93-1634,CP00-1056
CP94-2059,CP00-1056
CP85-1491,CP00-1057
98P03,CP00-1057
US88-1001,CP00-1058
CP84-1198,CP00-1058
US88-1001,CP00-1059
CP84-1198,CP00-1059
CP93-1065,CP00-1060
CP72-2086,CP00-1060
CP93-1548,CP00-1061
CP88-1762,CP00-1061
CP80-1827,CP00-1062
CP80-1827,CP00-1062
CP94-1570,CP00-1063
CP80-1827,CP00-1063
CP84-1322,CP00-1064
CP84-1322,CP00-1064
CP84-1322,CP00-1065
CP84-1322,CP00-1065
CP92-1561,CP00-1066
CP84-1322,CP00-1066
CP92-1561,CP00-1067
CP84-1322,CP00-1067
CP94-1100,CP00-1068
CP94-2059,CP00-1068
CP57-0614,CP00-1069
CP57-0614,CP00-1069
CP92-1607,CP00-1070
CP85-1491,CP00-1070
CP89-2143,CP00-1071
98P07,CP00-1071
CP89-2143,CP00-1072
98P07,CP00-1072
CP89-2143,CP00-1073
98P07,CP00-1073
CP89-2143,CP00-1074
98P07,CP00-1074
CP92-1607,CP00-1075
98P05,CP00-1075
CP75-1632,CP00-1076
CP80-1743,CP00-1076
CP75-1632,CP00-1077
CP80-1743,CP00-1077
CP75-1632,CP00-1078
CP80-1743,CP00-1078
CP84-1198,CP00-1079
CP88-1762,CP00-1079
CP84-1198,CP00-1080
CP88-1762,CP00-1080
CP92-1666,CP00-1081
CP80-1827,CP00-1081
CP92-1666,CP00-1082
CP80-1827,CP00-1082
CP92-1607,CP00-1083
98P05,CP00-1083
CP92-1607,CP00-1084
98P05,CP00-1084
CP72-1210,CP00-1085
CP72-1210,CP00-1085
CP72-1210,CP00-1086
CP72-1210,CP00-1086
US98-1009,CP00-1087
CP84-1198,CP00-1087
CP94-1340,CP00-1088
CP72-2086,CP00-1088
CP94-1340,CP00-1089
CP72-2086,CP00-1089
TCP93-4270,CP00-1090
TCP93-4270,CP00-1090
TCP93-4270,CP00-1091
TCP93-4270,CP00-1091
CP90-1535,CP00-1092
CP80-1743,CP00-1092
CP92-1167,CP00-1093
CP92-1167,CP00-1093
CP92-1167,CP00-1094
CP92-1167,CP00-1094
CP92-1167,CP00-1095
CP92-1167,CP00-1095
TCP88-3461,CP00-1096
TCP88-3461,CP00-1096
TCP88-3461,CP00-1097
TCP88-3461,CP00-1097
TCP88-3461,CP00-1098
TCP88-3461,CP00-1098
CP89-2143,CP00-1099
CP89-2143,CP00-1099
CP89-2143,CP00-1100
CP89-2143,CP00-1100
CP89-2143,CP00-1101
CP89-2143,CP00-1101
CP89-2143,CP00-1102
CP70-1133,CP00-1102
CP93-1065,CP00-1103
CP72-2086,CP00-1103
CP94-1100,CP00-1104
HoCP92-0618,CP00-1104
US96-0005,CP00-1105
US96-0005,CP00-1105
CL61-0620,CP00-1106
CP89-2143,CP00-1106
CL61-0620,CP00-1107
CP89-2143,CP00-1107
TCP91-3543,CP00-1108
TCP91-3543,CP00-1108
CP81-1384,CP00-1109
CP94-1528,CP00-1109
CP81-1384,CP00-1110
CP94-1528,CP00-1110
CP81-1384,CP00-1111
CP94-1528,CP00-1111
CP81-1384,CP00-1112
CP94-1528,CP00-1112
CP94-1200,CP00-1113
CP81-1384,CP00-1113
CP94-1200,CP00-1114
CP81-1384,CP00-1114
TCP88-3461,CP00-1115
TCP88-3461,CP00-1115
TCP88-3461,CP00-1116
TCP88-3461,CP00-1116
TCP88-3461,CP00-1117
TCP88-3461,CP00-1117
CP94-2059,CP00-1118
CP84-1322,CP00-1118
CP94-2059,CP00-1119
CP84-1322,CP00-1119
CP94-2059,CP00-1120
CP84-1322,CP00-1120
CP94-2059,CP00-1121
CP84-1322,CP00-1121
TCP88-3448,CP00-1122
HoCP95-0929,CP00-1122
TCP88-3448,CP00-1123
HoCP95-0929,CP00-1123
TCP88-3448,CP00-1124
HoCP95-0929,CP00-1124
TCP88-3448,CP00-1125
HoCP95-0929,CP00-1125
LCP85-0384,CP00-1126
LCP85-0384,CP00-1126
LCP85-0384,CP00-1127
LCP85-0384,CP00-1127
CP84-1198,CP00-1128
CP80-1743,CP00-1128
CP84-1198,CP00-1129
CP80-1743,CP00-1129
CP84-1198,CP00-1130
CP80-1743,CP00-1130
CP84-1198,CP00-1131
CP80-1743,CP00-1131
CP89-2143,CP00-1132
CP89-2143,CP00-1132
CP92-1666,CP00-1133
CP80-1827,CP00-1133
CP92-1666,CP00-1134
CP80-1827,CP00-1134
CP92-1666,CP00-1135
CP80-1827,CP00-1135
CP94-2059,CP00-1136
CP78-1628,CP00-1136
CP94-2059,CP00-1137
CP78-1628,CP00-1137
CP94-2059,CP00-1138
CP78-1628,CP00-1138
LCP86-0454,CP00-1139
LCP86-0454,CP00-1139
LCP86-0454,CP00-1140
LCP86-0454,CP00-1140
LCP86-0454,CP00-1141
LCP86-0454,CP00-1141
LCP86-0454,CP00-1142
LCP86-0454,CP00-1142
LCP86-0454,CP00-1143
LCP86-0454,CP00-1143
CP93-1634,CP00-1144
CP92-1167,CP00-1144
CP93-1634,CP00-1145
CP92-1167,CP00-1145
CP93-1634,CP00-1146
CP92-1167,CP00-1146
CP93-1634,CP00-1147
CP92-1167,CP00-1147
CP85-1432,CP00-1148
CP92-1167,CP00-1148
CP85-1432,CP00-1149
CP92-1167,CP00-1149
CP85-1432,CP00-1150
CP92-1167,CP00-1150
CP85-1432,CP00-1151
CP92-1167,CP00-1151
CP92-1561,CP00-1152
CP94-2059,CP00-1152
CP85-1432,CP00-1153
CP92-1666,CP00-1153
CP94-1200,CP00-1154
CP94-1570,CP00-1154
CP94-1200,CP00-1155
CP94-1570,CP00-1155
CP85-1382,CP00-1156
CP80-1743,CP00-1156
HoCP93-0750,CP00-1157
CP84-1198,CP00-1157
HoCP93-0750,CP00-1158
CP84-1198,CP00-1158
HoCP93-0750,CP00-1159
CP84-1198,CP00-1159
HoCP93-0750,CP00-1160
CP84-1198,CP00-1160
HoCP93-0750,CP00-1161
CP84-1198,CP00-1161
HoCP93-0750,CP00-1162
CP84-1198,CP00-1162
US90-0018,CP00-1163
Ho94-0861,CP00-1163
US90-0018,CP00-1164
Ho94-0861,CP00-1164
US90-0018,CP00-1165
Ho94-0861,CP00-1165
CP92-1561,CP00-1166
98P03,CP00-1166
CP92-1561,CP00-1167
98P03,CP00-1167
CP89-1509,CP00-1168
CP88-1762,CP00-1168
L94-0424,CP00-1176
L94-0424,CP00-1176
L94-0424,CP00-1177
L94-0424,CP00-1177
L94-0424,CP00-1178
L94-0424,CP00-1178
L94-0424,CP00-1179
L94-0424,CP00-1179
L94-0424,CP00-1180
L94-0424,CP00-1180
CP89-1945,CP00-1181
CP88-1762,CP00-1181
CP89-1945,CP00-1182
CP88-1762,CP00-1182
CP90-1436,CP00-1185
CP80-1827,CP00-1185
CP78-2114,CP00-1186
98P05,CP00-1186
CP78-2114,CP00-1187
98P05,CP00-1187
CP89-2143,CP00-1188
CP81-1384,CP00-1188
CP89-2143,CP00-1189
CP81-1384,CP00-1189
CP94-1200,CP00-1190
CP80-1827,CP00-1190
CP94-1200,CP00-1191
CP80-1827,CP00-1191
CP94-1200,CP00-1192
CP80-1827,CP00-1192
CP94-1200,CP00-1193
CP80-1827,CP00-1193
CP94-1200,CP00-1194
CP80-1827,CP00-1194
CP94-1200,CP00-1195
CP80-1827,CP00-1195
CP95-2318,CP00-1196
CP92-1666,CP00-1196
CP92-1167,CP00-1197
CP85-1491,CP00-1197
CP94-1570,CP00-1198
CP80-1827,CP00-1198
CP92-1666,CP00-1199
TCP89-3505,CP00-1199
CP92-1666,CP00-1200
TCP89-3505,CP00-1200
CP94-1528,CP00-1201
98P03,CP00-1201
CP94-1528,CP00-1202
98P03,CP00-1202
CP94-1528,CP00-1203
98P03,CP00-1203
CP94-1528,CP00-1204
98P03,CP00-1204
CP94-1200,CP00-1205
CP84-1322,CP00-1205
CP94-1200,CP00-1206
CP84-1322,CP00-1206
CP94-1528,CP00-1208
CP84-1322,CP00-1208
CP94-1528,CP00-1209
CP84-1322,CP00-1209
CP94-1528,CP00-1210
CP84-1322,CP00-1210
CP94-1528,CP00-1211
CP84-1322,CP00-1211
L94-0424,CP00-1212
L94-0424,CP00-1212
CP85-1432,CP00-1213
98P05,CP00-1213
TCP91-4131,CP00-1214
LCP85-0384,CP00-1214
CP94-1200,CP00-1215
US90-0020,CP00-1215
CP85-1382,CP00-1216
CP88-1762,CP00-1216
CL61-0620,CP00-1217
CP94-1570,CP00-1217
CL61-0620,CP00-1218
CP94-1570,CP00-1218
CL61-0620,CP00-1219
CP94-1570,CP00-1219
CP84-1198,CP00-1220
CP84-1198,CP00-1220
CP57-0614,CP00-1221
CP57-0614,CP00-1221
CP89-1268,CP00-1222
98P07,CP00-1222
CP89-1268,CP00-1223
98P07,CP00-1223
CP90-1424,CP00-1224
CP84-1198,CP00-1224
LCP85-0384,CP00-1225
LCP85-0384,CP00-1225
CP90-1424,CP00-1226
98P05,CP00-1226
CP94-1100,CP00-1227
98P07,CP00-1227
CP94-1100,CP00-1228
98P07,CP00-1228
US96-0002,CP00-1229
CP80-1827,CP00-1229
CP92-1607,CP00-1230
CP85-1491,CP00-1230
CP72-1210,CP00-1231
CP92-1167,CP00-1231
CP72-1210,CP00-1232
CP92-1167,CP00-1232
CP94-1200,CP00-1233
CP92-1167,CP00-1233
CP94-1200,CP00-1234
CP92-1167,CP00-1234
CP94-1200,CP00-1235
CP92-1167,CP00-1235
CP94-1200,CP00-1236
CP92-1167,CP00-1236
CP94-1200,CP00-1237
CP92-1167,CP00-1237
CP94-1200,CP00-1238
CP92-1167,CP00-1238
HoCP95-0947,CP00-1239
HoCP95-0947,CP00-1239
Ho94-809,CP00-1240
CP80-1827,CP00-1240
Ho94-809,CP00-1241
CP80-1827,CP00-1241
Ho94-809,CP00-1242
CP80-1827,CP00-1242
TCP92-4208,CP00-1243
TCP93-4270,CP00-1243
CP90-1424,CP00-1244
CP93-1634,CP00-1244
CP90-1424,CP00-1245
CP93-1634,CP00-1245
CP90-1222,CP00-1246
CP93-1634,CP00-1246
CP90-1222,CP00-1247
CP93-1634,CP00-1247
CP90-1222,CP00-1248
CP93-1634,CP00-1248
CP90-1222,CP00-1249
CP93-1634,CP00-1249
CP93-1065,CP00-1250
CP70-1133,CP00-1250
CP93-1065,CP00-1251
CP70-1133,CP00-1251
CP90-1424,CP00-1252
CP92-1167,CP00-1252
CP78-2114,CP00-1253
CP89-2143,CP00-1253
CP78-2114,CP00-1254
CP89-2143,CP00-1254
CP92-1167,CP00-1255
CP94-1528,CP00-1255
CP92-1167,CP00-1256
CP94-1528,CP00-1256
CL61-0620,CP00-1257
CP81-1384,CP00-1257
CP94-1100,CP00-1258
CP92-1167,CP00-1258
CP94-1100,CP00-1259
CP92-1167,CP00-1259
CP94-1100,CP00-1260
CP92-1167,CP00-1260
CP94-1100,CP00-1261
CP92-1167,CP00-1261
HoCP95-0950,CP00-1267
HoCP95-0950,CP00-1267
HoCP85-0845,CP00-1268
HoCP85-0845,CP00-1268
HoCP85-0845,CP00-1269
HoCP85-0845,CP00-1269
CP94-1528,CP00-1270
CP80-1743,CP00-1270
CP94-1528,CP00-1271
CP80-1743,CP00-1271
CP94-1100,CP00-1272
CP94-1570,CP00-1272
CP94-1100,CP00-1273
CP94-1570,CP00-1273
CP94-1100,CP00-1274
CP94-1570,CP00-1274
CP89-1268,CP00-1275
CP70-1133,CP00-1275
CL61-0620,CP00-1276
CP78-1628,CP00-1276
CP92-1666,CP00-1284
CP92-1666,CP00-1284
CP92-1666,CP00-1285
CP92-1666,CP00-1285
CP92-1666,CP00-1286
CP92-1666,CP00-1286
CP85-1432,CP00-1287
CP84-1198,CP00-1287
HoCP95-0947,CP00-1288
HoCP95-0947,CP00-1288
CP93-1439,CP00-1289
CP84-1198,CP00-1289
CP93-1439,CP00-1290
CP84-1198,CP00-1290
CP81-1254,CP00-1291
CP94-2059,CP00-1291
CP81-1254,CP00-1292
CP94-2059,CP00-1292
CP81-1254,CP00-1293
CP94-2059,CP00-1293
CP84-1198,CP00-1294
CP92-1167,CP00-1294
CP84-1198,CP00-1295
CP92-1167,CP00-1295
CP93-1065,CP00-1296
CP91-1924,CP00-1296
CP75-1632,CP00-1297
CP80-1743,CP00-1297
CP75-1632,CP00-1298
CP80-1743,CP00-1298
CP75-1632,CP00-1299
CP89-2143,CP00-1299
CP75-1632,CP00-1300
CP89-2143,CP00-1300
CP75-1632,CP00-1301
CP89-2143,CP00-1301
CP75-1632,CP00-1302
CP89-2143,CP00-1302
CP92-1607,CP00-1303
HoCP95-0951,CP00-1303
CP84-1062,CP00-1304
CP92-1666,CP00-1304
CP95-2318,CP00-1305
CP94-1528,CP00-1305
CP78-2114,CP00-1306
CP89-2143,CP00-1306
CP78-2114,CP00-1307
CP89-2143,CP00-1307
CP85-1491,CP00-1308
CP85-1491,CP00-1308
CP78-2114,CP00-1309
CP89-2143,CP00-1309
CP94-2056,CP00-1313
CP94-2056,CP00-1313
CP94-2056,CP00-1314
CP94-2056,CP00-1314
CP85-1491,CP00-1315
CP85-1491,CP00-1315
CP85-1491,CP00-1316
CP85-1491,CP00-1316
CP85-1491,CP00-1317
CP85-1491,CP00-1317
CP94-1200,CP00-1318
CP85-1491,CP00-1318
US90-0020,CP00-1319
TCP90-4087,CP00-1319
US90-0020,CP00-1320
TCP90-4087,CP00-1320
CP90-1222,CP00-1321
CP89-2143,CP00-1321
CP90-1222,CP00-1322
CP89-2143,CP00-1322
CP93-1634,CP00-1323
CP89-2143,CP00-1323
CP93-1634,CP00-1324
CP89-2143,CP00-1324
CP70-1133,CP00-1325
CP70-1133,CP00-1325
CP89-1632,CP00-1326
CP92-1167,CP00-1326
CP89-1632,CP00-1327
CP92-1167,CP00-1327
CP89-1509,CP00-1328
CP80-1743,CP00-1328
CP89-1509,CP00-1329
CP80-1743,CP00-1329
CP89-1509,CP00-1330
CP80-1743,CP00-1330
CP89-1509,CP00-1331
CP80-1743,CP00-1331
CP91-1924,CP00-1332
CP70-1133,CP00-1332
CP93-1634,CP00-1333
CP72-2086,CP00-1333
CP93-1634,CP00-1334
CP72-2086,CP00-1334
CP93-1634,CP00-1335
CP72-2086,CP00-1335
CP90-1222,CP00-1336
CP78-1628,CP00-1336
CP90-1222,CP00-1337
CP78-1628,CP00-1337
CP72-1210,CP00-1338
CP72-1210,CP00-1338
CP72-1210,CP00-1339
CP72-1210,CP00-1339
CP72-1210,CP00-1340
CP72-1210,CP00-1340
CP78-2114,CP00-1341
CP85-1491,CP00-1341
CP89-1509,CP00-1342
CP72-2086,CP00-1342
CP89-1509,CP00-1343
CP72-2086,CP00-1343
CP94-2095,CP00-1344
CP80-1827,CP00-1344
CP94-2095,CP00-1345
CP80-1827,CP00-1345
CP94-2095,CP00-1346
CP80-1827,CP00-1346
CP78-2114,CP00-1347
CP84-1322,CP00-1347
CP78-2114,CP00-1348
CP84-1322,CP00-1348
CP90-1436,CP00-1349
CP92-1167,CP00-1349
CP90-1436,CP00-1350
CP92-1167,CP00-1350
HoCP95-0995 [SGR-3446],CP00-1351
CP88-1762,CP00-1351
HoCP95-0995 [SGR-3446],CP00-1352
CP88-1762,CP00-1352
CP95-2318,CP00-1353
CP93-1634,CP00-1353
LCP86-0454,CP00-1354
LCP86-0454,CP00-1354
LCP86-0454,CP00-1355
LCP86-0454,CP00-1355
CP94-1100,CP00-1356
CP89-2143,CP00-1356
CP94-1100,CP00-1357
CP89-2143,CP00-1357
CP94-1100,CP00-1358
CP89-2143,CP00-1358
CP94-1100,CP00-1359
CP89-2143,CP00-1359
US90-0018,CP00-1360
HoCP95-0988,CP00-1360
US90-0018,CP00-1361
HoCP95-0988,CP00-1361
CP93-1065,CP00-1364
98P05,CP00-1364
CP93-1065,CP00-1365
98P05,CP00-1365
CP92-1561,CP00-1366
CP80-1743,CP00-1366
CP89-1945,CP00-1369
CP94-2059,CP00-1369
CP89-1945,CP00-1370
CP94-2059,CP00-1370
CP89-1945,CP00-1371
CP94-2059,CP00-1371
CP93-1382,CP00-1372
CP84-1322,CP00-1372
CP92-1167,CP00-1373
CP92-1167,CP00-1373
CP92-1167,CP00-1374
CP92-1167,CP00-1374
CP91-1924,CP00-1375
CP89-2143,CP00-1375
CP92-1666,CP00-1376
CP94-1528,CP00-1376
CP94-1528,CP00-1377
CP93-1634,CP00-1377
CP94-1528,CP00-1378
CP93-1634,CP00-1378
CP94-1528,CP00-1379
CP93-1634,CP00-1379
CP93-1634,CP00-1380
CP94-1528,CP00-1380
CP93-1634,CP00-1382
CP94-1528,CP00-1382
CP91-1924,CP00-1383
CP84-1198,CP00-1383
CP91-1924,CP00-1384
CP84-1198,CP00-1384
CP91-1924,CP00-1385
CP84-1198,CP00-1385
CP91-1924,CP00-1386
CP84-1198,CP00-1386
CP91-1924,CP00-1387
CP84-1198,CP00-1387
CP91-1924,CP00-1389
CP84-1198,CP00-1389
CP91-1924,CP00-1390
CP84-1198,CP00-1390
CP92-1607,CP00-1391
CP89-2377,CP00-1391
CP80-1827,CP00-1392
CP92-1320,CP00-1392
CP80-1827,CP00-1393
CP92-1320,CP00-1393
CP80-1827,CP00-1394
CP92-1320,CP00-1394
CP80-1827,CP00-1395
CP92-1320,CP00-1395
TCP90-4094,CP00-1396
CP84-1198,CP00-1396
TCP90-4094,CP00-1397
CP84-1198,CP00-1397
LCP86-0454,CP00-1399
LCP85-0384,CP00-1399
LCP86-0454,CP00-1401
LCP85-0384,CP00-1401
CP89-2376,CP00-1402
CP91-1150,CP00-1402
CP89-2376,CP00-1403
CP91-1150,CP00-1403
CP89-2376,CP00-1404
CP91-1150,CP00-1404
CP89-2376,CP00-1405
CP91-1150,CP00-1405
CP89-2376,CP00-1406
CP91-1150,CP00-1406
CP89-2377,CP00-1407
TCP91-3543,CP00-1407
CP70-1133,CP00-1408
CP85-1308,CP00-1408
CP70-1133,CP00-1409
CP85-1308,CP00-1409
CP70-1133,CP00-1410
CP85-1308,CP00-1410
CP94-1997,CP00-1412
97P07,CP00-1412
CP94-1997,CP00-1413
97P07,CP00-1413
TCP92-4193,CP00-1414
TCP93-4270,CP00-1414
CP80-1827,CP00-1415
CP89-2377,CP00-1415
CP80-1827,CP00-1416
97P08,CP00-1416
